Faridkot, 24540
Kota, 24600
Solan, 25020
Shahjahanpur, 25200
Hoshiarpur, 26100
Sirsa, 26400
Fatehpur, 26520
Farrukhabad, 27600
Muktsar, 28080
Bikaner, 28500
Ajmer, 28500
Hardoi, 28620
Mainpuri, 28800
Bhopal, 28800
Kathua, 29580
Kannauj, 29640
Firozpur, 30000
Rae_Bareli, 30000
Barabanki, 30300
Kanpur_Nagar, 30492
Budaun, 30660
Kapurthala, 30720
Hanumangarh, 30900
Mahoba, 31140
Baran, 31680
Ganganagar, 32100
Bhilwara, 32100
Allahabad, 32220
Sehore, 32700
Vidisha, 33120
Gurdaspur, 33720
Sikar, 34200
Shimla, 34800
Jammu, 35400
Faizabad, 36000
Banda, 36600
Sitapur, 36900
Pali, 37500
Gonda, 37500
Una, 37800
Mirzapur, 38100
Chittaurgarh, 38400
Pilibhit, 38400
Sultanpur, 39000
Hoshangabad, 39180
Sagar, 39300
Ujjain, 39600
Jodhpur, 40680
Nagaur, 40860
Guna, 41400
Sant_Ravidas_Nagar_Bhadohi, 41580
Udhampur, 42525
Ratlam, 43200
Basti, 43500
Neemuch, 43500
Balrampur, 44160
Bharuch, 44520
Satna, 45300
Anand, 46200
Varanasi, 46500
Harda, 46620
Dohad, 46800
Damoh, 47100
Shajapur, 47160
Mandsaur, 47220
Udaipur, 47400
Chandauli, 47580
Buxar, 47640
Bahraich, 48900
Gorakhpur, 48900
Kodarma, 49314
Betul, 49680
Rajsamand, 49800
Narsimhapur, 49800
Dhanbad, 49920
Nawada, 50220
Sonbhadra, 51600
Jalor, 51780
Navsari, 51780
Jaunpur, 51900
Katni, 51900
Nalanda, 52980
Gandhinagar, 53400
Valsad, 54120
Jalgaon, 54540
Deoria, 54780
Patna, 54900
Jabalpur, 54900
Dewas, 55320
Nagpur, 55800
Gaya, 56880
Umaria, 56940
Patan, 57000
Vadodara, 57600
Ghazipur, 58500
Sheikhpura, 58579
Barddhaman, 59160
Surendranagar, 59760
Mahesana, 59880
Siwan, 60300
Jehanabad, 60600
Indore, 60600
Shahdol, 61380
Jaisalmer, 61800
Haora, 62100
Dungarpur, 63000
Nashik, 63600
Kolkata, 63816
Ballia, 63900
Lakhisarai, 64200
Bankura, 65100
Surat, 65280
Nandurbar, 65400
Mau, 65700
Puruliya, 65700
Wardha, 66120
Azamgarh, 66300
Ahmadabad, 66600
Garhwa, 66660
Barmer, 67200
Ranchi, 67800
Aurangabad, 67800
Mumbai_Suburban, 67953
Begusarai, 68160
Akola, 68400
Gondiya, 68760
Rajkot, 69300
Khagaria, 70560
Chhindwara, 71700
Jalna, 71880
Chandrapur, 72360
Muzaffarpur, 74100
Amravati, 74100
Rajnandgaon, 74400
North_Twenty_Four_Parganas, 74441
South_Twenty_Four_Parganas, 74441
Madhepura, 75000
Samastipur, 75000
Balaghat, 75300
Birbhum, 76524
Bhagalpur, 76800
Bokaro, 76800
Deoghar, 77100
Durg, 77100
Ahmadnagar, 77220
Pakaur, 77400
Bilaspur, 78000
Saharsa, 78300
Thane, 78480
Giridih, 78900
Dhule, 79200
Jamnagar, 79320
Lohardaga, 79500
Bhavnagar, 79500
Mumbai, 79800
Katihar, 80100
Raipur, 80100
Washim, 80160
Parbhani, 80880
Darbhanga, 81000
Junagadh, 82380
Hingoli, 83940
Ratnagiri, 84300
Seoni, 85800
Murshidabad, 86400
Araria, 86760
Kishanganj, 87180
Mahasamund, 87420
Sitamarhi, 88200
Nanded, 88500
Madhubani, 89400
Dumka, 89400
Pune, 89400
Sahibganj, 90300
Porbandar, 90300
Supaul, 92760
Medinipur, 93000
Medak, 93076
Baleshwar, 93900
Amreli, 94080
Raigarh, 94740
Yavatmal, 95100
Sheopur, 95700
Jalpaiguri, 96600
Satara, 97500
Korba, 98100
Mandla, 99886
Solapur, 99900
Guntur, 102300
Kurnool, 102300
Koch_Bihar, 103080
Cuttack, 104100
Balangir, 104100
Bidar, 104100
Jharsuguda, 104700
Latur, 106200
Kokrajhar, 108480
Bargarh, 108600
Rayagada, 108600
Bijapur, 109200
Khordha, 109800
Kendujhar, 110100
Sambalpur, 111000
Sangli, 111420
Gulbarga, 111600
Bongaigaon, 112500
Puri, 115200
Kolhapur, 115200
Udupi, 115620
Dhenkanal, 116280
Dhubri, 116400
Vizianagaram, 116700
Dimapur, 117000
Nellore, 117840
Ganjam, 120060
Anugul, 120300
Darjiling, 120900
Visakhapatnam, 121200
Cuddalore, 121200
Bagalkot, 121380
Belgaum, 121500
Nalbari, 121560
Raichur, 121800
Rangareddi, 123916
Chennai, 124800
Chittoor, 125880
Thiruvallur, 127440
Anantapur, 127620
Cuddapah, 128700
Bangalore_Rural, 129302
Kannur, 129600
Kasaragod, 129780
Vellore, 129900
Gadag, 130200
Dharwad, 130800
Pudukkottai, 131040
Bangalore, 132900
Kancheepuram, 134380
Kolar, 134400
Kozhikode, 134400
Davanagere, 135180
Tinsukia, 135600
Jorhat, 136680
Sivaganga, 137640
Golaghat, 137820
Thiruvarur, 138000
