district,Andaman_and_Nicobar,Andhra_Pradesh,Arunachal_Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Countries_in_Africa,Countries_in_America,Countries_in_Asia_beyond_India,Countries_in_Europe,Countries_in_Oceania,Dadra_and_Nagar_Haveli,Daman_and_Diu,Delhi,Elsewhere_in_the_district_of_enumeration,Goa,Gujarat,Haryana,Himachal_Pradesh,Jammu_and_Kashmir,Jharkhand,Karnataka,Kerala,Lakshadweep,Last_residence_elsewhere_in_India,Madhya_Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Orissa,Pondicherry,Punjab,Rajasthan,Sikkim,States_in_India_beyond_the_state_of_enumeration,Tamil_Nadu,Total,Tripura,Uttar_Pradesh,Uttaranchal,West_Bengal,Within_the_state_of_enumeration_but_outside_the_place_of_enumeration
Lakhimpur_Kheri,0,43,4,21914,4499,93,242,8,5,4310,12,1,0,3,419,595224,6,312,2450,32,76,270,33,59,0,810777,3152,129,42,1,2,0,52,9,15807,772,1,53972,19,815113,9,161581,2007,1515,756805
Baudh,0,22,0,6,97,0,22,1,0,6,0,0,0,0,1,77473,0,3,7,0,0,21,0,12,0,106574,13,26,0,0,0,0,28604,0,5,41,0,497,17,106581,1,147,3,53,106077
Raigarh_(Maharashtra),45,7915,25,1666,12020,104,2059,94,30,2751,37,19,16,15,1205,577972,599,9566,696,340,321,2723,24656,7667,0,941402,3894,235405,45,20,3,29,3358,35,1813,8763,18,128025,3462,944333,193,29079,1018,4657,813377
Nagaon,0,277,93,59479,6804,1,41,4,3,15861,0,0,0,0,60,389038,0,38,57,17,21,295,29,70,0,468025,50,119,293,667,20,698,201,1,207,1063,7,19508,52,483893,2447,2224,20,3636,448517
Ramanathapuram,172,186,7,22,19,1,0,13,9,2172,6,0,0,0,64,170813,5,27,7,10,14,7,128,551,0,205034,10,229,1,0,0,0,9,62,14,34,0,1668,32553,207234,0,41,0,48,203366
Shrawasti,3,5,0,124,832,6,12,1,0,3215,1,0,0,0,68,212884,0,173,31,2,8,88,11,14,0,280160,120,201,1,0,1,2,23,1,124,31,0,2612,2,283377,3,64664,87,639,277548
Barmer,14,198,4,95,432,84,63,1,3,14470,6,3,1,2,305,376433,15,5566,674,87,188,67,394,373,0,460675,478,741,11,7,5,4,54,0,482,71213,0,13029,215,475161,11,1732,214,513,447646
Sirohi,1,407,4,68,2030,17,72,14,9,406,10,5,1,5,446,178202,16,22646,701,159,53,212,698,560,0,274145,1130,2177,9,7,0,1,181,2,393,59346,0,36597,585,274589,11,3392,208,405,237548
Jalpaiguri,37,906,255,54069,45470,104,481,18,26,184900,15,8,1,0,746,567638,24,461,1682,370,832,12805,629,505,0,902022,909,1674,371,978,77,380,1296,3,1268,2616,1142,139182,373,1086989,1612,6343,763,195202,762840
Rajnandgaon,2,782,1,53,1666,55,86718,4,1,549,1,0,2,2,97,298116,1,1098,142,27,46,2235,54,140,0,431278,12287,20164,7,4,0,2,1745,1,554,1215,0,46444,137,431833,5,2649,32,1239,384834
