district,Andaman_and_Nicobar,Andhra_Pradesh,Arunachal_Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Countries_in_Africa,Countries_in_America,Countries_in_Asia_beyond_India,Countries_in_Europe,Countries_in_Oceania,Dadra_and_Nagar_Haveli,Daman_and_Diu,Delhi,Elsewhere_in_the_district_of_enumeration,Goa,Gujarat,Haryana,Himachal_Pradesh,Jammu_and_Kashmir,Jharkhand,Karnataka,Kerala,Lakshadweep,Last_residence_elsewhere_in_India,Madhya_Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Orissa,Pondicherry,Punjab,Rajasthan,Sikkim,States_in_India_beyond_the_state_of_enumeration,Tamil_Nadu,Total,Tripura,Uttar_Pradesh,Uttaranchal,West_Bengal,Within_the_state_of_enumeration_but_outside_the_place_of_enumeration
Purnia,9,2785,164,975,141186,25,14088,1508,284,7206,28,1116,10,129,125,278569,22,244,734,959,4775,14350,6118,58,6,527541,465,217,79,27,140,2518,22035,44,519,912,24,107786,277,537683,35,4739,22391,7788,419755
Sibsagar,1,189,224,37855,7202,6,189,4,4,731,0,0,0,0,68,167205,4,124,85,14,35,500,32,99,0,220578,336,124,95,90,3,570,394,2,187,1026,5,15518,128,221317,349,1286,106,2045,205060
Nawanshahr,2,25,5,219,5013,865,97,27,158,5248,163,11,0,1,855,100105,9,127,2224,2756,459,1120,23,44,0,207294,361,309,2,3,0,2,193,2,83739,1276,4,23450,75,212901,4,5812,443,1120,183844
Chitrakoot,0,11,3,22,189,1,651,4,2,4,2,0,0,1,23,141773,0,32,43,37,7,38,2130,16,0,197748,14910,235,5,1,1,0,44,0,16,45,1,18630,21,197760,1,37345,52,94,179118
Mainpuri,2,56,1,69,3135,12,65,9,2,249,5,4,1,0,629,177623,1,282,271,41,14,233,9,31,0,401893,2556,149,30,5,1,223,97,0,174,366,3,9577,43,402162,8,214693,193,877,392316
Koraput,6,12604,2,82,1159,21,2754,2,7,846,8,2,0,1,71,251318,3,203,128,4,26,589,176,582,0,345705,337,232,37,1,0,4,72409,14,169,288,1,21978,432,346570,7,610,52,1383,323727
Anugul,0,942,7,179,2929,12,778,44,26,155,3,11,0,5,178,262891,0,308,206,53,51,4156,138,397,0,369188,490,318,9,6,0,9,89705,2,303,400,3,16592,347,369427,15,1390,34,2927,352596
Garhwal,3,70,38,215,2437,198,82,5,2,4262,27,2,0,2,1898,216514,42,2366,791,365,192,951,171,136,1,278788,383,753,51,398,11,123,364,0,654,790,22,35930,144,283086,26,21521,26344,732,242858
Uttar_Dinajpur,7,85,7,3777,56137,4,44,2,5,97266,4,5,0,0,464,357620,0,62,180,51,84,2294,110,77,0,539563,114,243,20,55,1,22,198,1,204,1139,30,67213,56,636845,183,1377,187,114730,472350
Maharajganj,3,17,0,84,4882,4,918,2,11,17172,6,1,1,0,117,446131,17,70,54,103,8,595,32,28,0,568644,281,318,3,1,2,6,41,1,147,187,0,8496,20,585836,0,114017,92,464,560148
Araria,0,10,2,108,83419,6,16,6,30,11486,5,3,1,0,201,328966,0,64,130,4,30,1081,13,7,0,423984,30,52,3,2,3,0,60,5,303,778,4,11599,81,435518,0,6449,35,2121,412385
Rayagada,2,17694,6,28,580,8,447,4,0,214,2,0,0,0,56,175658,1,101,63,4,5,206,31,179,0,238782,209,102,0,0,0,0,42151,1,64,86,1,20973,173,239002,0,509,14,403,217809
Mayurbhanj,1,220,3,39,2527,8,124,2,1,455,3,2,1,1,70,515472,4,148,43,3,13,28634,43,74,0,637142,234,158,13,2,2,3,72157,2,133,605,1,49513,45,637605,10,459,21,15869,587629
Sheikhpura,0,1,1,173,78545,3,3,1,1,5,0,0,0,0,25,44140,0,501,5,0,5,1264,3,12,7,125534,19,20,0,0,0,5,38,0,20,13,1,2849,5,125542,7,72,2,644,122685
Shahjahanpur,5,48,17,12608,3398,47,275,9,7,1868,4,2,3,0,703,346515,2,126,1206,48,74,515,60,61,0,573753,12349,246,11,0,3,57,133,9,12012,610,2,50858,47,575643,14,176380,2217,3952,522895
Sahibganj,0,23,0,159,30731,0,17,2,1,1495,0,0,0,0,63,140710,1,45,24,13,11,23867,8,45,0,217964,48,134,6,10,5,5,52,0,16,66,0,53387,48,219463,5,811,10,21031,164577
Jalgaon,1,2098,8,83,1023,48,802,12,7,2387,2,0,12,11,310,1331520,57,10229,187,50,109,217,759,587,0,1629262,50672,217319,3,2,0,1,1440,2,448,4577,5,80423,423,1631670,1,5130,95,1033,1548839
Rudraprayag,3,7,8,86,499,14,120,3,14,1627,35,2,0,0,189,58292,18,29,192,45,34,123,10,7,0,76098,18,85,8,2,2,18,161,0,347,61,1,3881,46,77779,4,1666,13925,78,72217
Bijapur,0,3501,2,27,214,6,63,4,4,58,32,4,0,0,79,385599,259,356,45,90,95,56,91221,315,1,522129,162,38121,10,3,0,3,44,7,79,702,1,45309,503,522231,9,367,13,176,476820
Kohima,0,99,52,3327,1282,1,30,36,194,1529,21,7,0,0,35,43686,4,40,127,99,75,578,69,523,0,73865,54,144,2993,152,69,17147,294,20,72,137,28,13032,278,75652,213,1197,495,545,60833
Gaya,0,33,1,35,136955,5,54,9,4,376,7,2,1,1,139,671283,1,124,104,35,46,28495,31,39,0,842447,194,146,0,14,5,8,307,0,123,174,4,34209,52,842845,7,1834,26,2171,808238
Panna,0,53,0,11,238,0,631,0,0,1560,0,7,0,0,105,160250,2,56,40,8,10,36,18,34,0,234864,57678,171,4,0,0,1,36,0,88,100,1,16936,30,236431,1,15044,34,184,217928
Udhampur,6,381,15,374,1388,117,437,9,8,422,4,0,0,6,413,127566,17,233,906,853,27412,424,173,339,0,170311,590,594,39,36,16,21,523,1,2673,766,20,15333,277,170754,23,2414,557,701,154978
The_Dangs,0,0,0,1,87,2,6,1,0,13,1,0,4,4,1,45429,2,7585,7,12,2,25,27,34,0,57648,99,3795,1,0,0,1,10,0,24,155,0,4634,24,57663,0,287,14,10,53014
Surendranagar,2,237,13,67,974,17,68,80,9,500,7,1,0,8,116,385348,18,128416,246,164,260,265,93,250,0,525781,895,2698,32,4,0,4,1158,5,568,1605,3,12017,210,526378,77,1527,72,361,513764
Purbi_Singhbhum,41,4893,32,536,116911,347,5046,41,27,4450,38,18,4,3,696,216135,42,1534,600,153,267,43783,575,1807,0,523868,1855,1508,57,80,8,21,29958,19,4481,2173,12,263950,2191,528486,57,15693,267,72083,259918
Lunglei,0,2,28,1112,169,3,4,4,0,2081,1,0,0,0,7,22053,0,1,0,14,38,272,6,55,0,31097,16,25,336,152,6456,10,10,0,19,22,4,2588,29,33183,81,54,16,103,28509
Latehar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South_Sikkim,0,17,37,310,2002,9,11,6,1,3891,0,0,0,0,32,18072,0,5,102,175,202,71,9,23,0,39296,22,13,291,47,17,46,36,0,19,75,10980,10244,34,43194,27,515,51,6046,29052
Kolar,10,60573,17,22,287,5,36,11,24,155,30,2,5,0,95,467908,21,225,88,41,47,98,87779,2233,0,645136,148,523,6,0,5,1,438,39,33,938,0,89449,22908,645358,4,402,12,189,555687
Udham_Singh_Nagar,2,190,35,1919,8703,257,827,64,27,26397,84,36,2,1,2577,119400,21,327,4948,595,1341,2986,414,473,13,429193,1259,565,59,32,68,1373,535,10,17384,2814,17,249674,182,455801,52,192357,60119,7336,179519
Jalna,2,872,0,2,279,5,56,23,11,70,5,10,0,0,50,397899,16,542,59,9,7,24,311,46,0,545004,689,140696,1,2,0,0,77,1,25,767,1,6409,94,545123,0,2319,6,147,538595
Datia,0,13,0,13,136,5,1029,0,0,465,0,0,0,1,147,82777,0,50,34,5,10,38,25,18,0,187397,56354,524,0,0,0,0,63,0,136,346,0,48266,29,187863,4,45438,70,132,139131
Kalahandi,0,1569,12,47,587,5,4008,1,0,106,0,3,4,3,81,322070,0,206,316,3,12,363,70,120,0,390292,485,220,5,3,0,0,58931,0,168,236,1,9291,108,390402,2,333,10,314,381001
Sambalpur,10,1451,7,172,5277,25,2519,14,7,472,4,7,0,0,179,191520,2,650,321,50,18,6304,87,282,0,328705,601,360,4,20,0,6,114097,1,480,571,0,23088,217,329209,4,1229,36,2205,305617
Ghazipur,1,19,1,173,36322,27,80,24,7,101,62,31,1,1,148,599437,1,137,434,21,23,4364,19,43,0,762489,269,437,14,4,0,5,81,1,65,85,0,44106,15,762714,2,118946,87,1226,718383
Ahmadnagar,19,3463,30,342,2271,64,471,28,17,1554,20,12,9,4,632,1341495,139,5132,695,237,496,338,4561,1609,0,1793355,4019,411112,63,20,109,47,535,4,1239,4348,10,40748,1021,1794986,8,7102,433,1278,1752607
Pondicherry,94,2110,35,153,407,19,27,122,107,1124,779,15,4,7,531,166630,50,1708,131,21,50,104,1960,3274,4,359074,193,1221,14,30,17,23,960,10116,105,738,10,182328,166585,361221,15,734,17,977,176746
Vellore,298,16878,27,86,753,4,38,33,21,6375,7,13,3,0,292,647881,180,216,107,13,112,62,13184,3010,2,810546,299,1107,15,7,13,8,190,548,132,949,2,39433,123232,816995,12,329,13,544,771113
Saran,2,14,13,337,112377,15,25,3,1,280,4,1,1,1,196,710517,3,999,64,7,13,2229,15,26,0,838228,148,255,1,11,10,11,139,0,110,68,14,15334,17,838519,2,7942,17,2629,822894
Karbi_Anglong,2,80,177,43821,6642,4,78,2,3,4197,0,0,0,0,45,161800,2,17,61,20,66,397,7,65,1,227041,61,21,715,1046,87,3232,324,1,66,555,127,21420,65,231243,1737,4367,106,1246,205621
Mysore,41,5333,512,320,808,39,94,100,79,6449,50,12,1,1,542,457797,105,635,156,1503,404,101,213986,10357,1,720649,348,2313,125,35,8,24,575,76,185,4083,1297,48866,16382,727349,13,1027,264,1158,671783
Thane,68,74731,92,2327,108544,732,4279,487,333,38737,299,89,1019,697,11080,1003049,6732,164838,6876,2124,1724,13203,133597,79475,7,4613418,36462,2178591,196,161,22,66,19396,354,10308,98656,44,1431778,46179,4653363,247,553916,7246,46380,3181640
Narsimhapur,0,46,0,11,255,4,1454,0,0,243,0,0,1,0,42,217234,0,108,42,4,16,54,35,58,0,303269,80050,1303,0,0,0,0,31,0,75,182,1,5985,39,303512,0,1987,16,221,297284
Janjgir_-_Champa,0,310,3,26,1463,78,97186,1,1,172,2,11,1,0,313,280820,3,200,442,71,980,1626,44,123,0,394978,3487,1020,2,4,0,0,2730,1,331,327,1,16972,68,395165,1,2203,78,1036,378006
Bangalore_Rural,13,10783,7,61,690,2,11,7,25,235,8,3,2,0,70,291883,18,558,122,38,96,154,199553,1659,0,521946,149,469,23,8,1,2,414,20,67,1194,4,30510,13037,522224,1,456,16,365,491436
Diu,0,8,0,6,43,1,1,430,0,59,302,0,11,254,20,19,76,3816,5,3,4,4,32,9,1,5224,8,686,0,0,0,0,11,0,8,74,0,4951,9,6015,0,43,34,38,273
Bageshwar,0,5,2,35,363,3,5,1,1,1897,9,0,0,1,152,66993,0,24,37,10,18,21,4,0,0,81941,32,82,4,3,2,13,2,0,17,29,3,2215,53,83849,6,1244,12733,45,79726
Banswara,2,704,0,13,704,12,12,1,2,119,0,0,0,1,80,350774,3,9438,117,63,14,149,63,582,0,407038,14235,730,2,0,0,0,48,0,167,26623,2,29641,49,407160,3,2164,45,239,377397
Sidhi,0,384,5,233,11191,31,8419,3,0,214,3,12,0,0,303,389370,1,149,368,83,44,8993,106,660,0,510297,47168,569,5,0,0,1,769,4,665,329,3,73759,244,510529,6,37821,221,2152,436538
West_Garo_Hills,0,37,27,18631,1424,0,4,0,0,3090,0,0,0,0,9,64342,2,14,70,33,20,58,14,110,0,94464,30,42,76,7431,29,39,48,0,59,212,6,22691,33,97554,79,294,38,1253,71773
Solapur,3,9107,6,73,405,9,448,22,4,265,9,2,1,4,132,1097862,183,2076,82,19,52,48,57758,329,0,1383956,726,210189,6,1,1,12,249,5,106,1602,4,75905,653,1384258,2,1357,65,381,1308051
Chitradurga,0,17944,4,13,195,7,5,3,4,90,4,0,1,0,11,287385,22,198,61,19,20,19,84176,373,1,394856,37,252,1,4,0,1,11,6,54,1352,0,23295,2493,394957,2,77,1,111,371561
West_Tripura,1,114,54,4051,1941,9,33,9,3,135028,2,5,0,0,85,299925,3,54,121,61,52,960,92,210,0,357383,73,161,160,390,62,72,255,0,154,495,31,14152,120,492430,43306,1006,304,3028,343231
Nagaur,1,389,7,487,1079,19,66,6,7,466,4,1,0,1,518,586823,5,1559,917,52,67,130,142,303,0,794425,1248,4340,5,12,0,29,81,2,406,192645,3,14957,160,794909,12,2143,74,700,779468
Chandrapur,12,30837,7,167,5602,87,25898,25,9,2870,10,7,0,3,458,646808,38,2057,924,236,135,1110,1063,1866,0,972919,12519,218680,10,5,6,4,1371,16,1146,1861,3,107431,1177,975840,5,16153,235,2420,865488
Rampur,2,75,7,525,3886,76,753,3,15,3950,16,1,0,0,1000,237598,5,85,1465,88,192,361,128,136,0,372246,379,204,91,8,5,20,174,16,8179,451,0,34498,52,376231,33,100150,13359,2743,337748
Dhubri,0,6,18,32540,2478,6,9,0,0,6018,1,2,0,0,28,297889,0,15,35,3,18,343,9,15,0,350689,30,16,32,2926,11,28,35,0,19,941,14,20260,3,356710,71,374,21,12756,330429
Ahmadabad,27,4012,25,1007,15747,382,824,809,452,13731,201,32,51,228,4161,952317,374,812143,3640,2618,450,2301,5166,9805,0,2165660,25580,71246,39,48,2,17,2454,978,4093,127272,33,401200,6930,2180885,68,102682,1697,7243,1764460
Karauli,0,18,12,9,118,3,11,62,0,47,0,4,0,0,255,263332,0,253,114,6,10,119,7,39,0,325878,3325,110,0,18,0,0,14,28,113,54572,0,7974,1,325991,3,3327,27,34,317904
Champawat,0,20,7,234,393,20,25,0,3,1583,13,3,0,0,420,50152,4,39,268,356,142,196,22,27,0,81042,144,163,34,13,242,87,19,0,215,202,3,12889,29,82644,3,9286,18001,276,68153
Sultanpur,1,83,6,160,2625,78,9668,4,182,195,9,19,0,0,610,641915,14,375,200,101,35,3782,47,167,0,865841,775,768,3,4,1,0,448,0,335,413,1,23437,28,866253,9,200489,469,2231,842404
Bellary,14,93771,5,64,818,17,246,8,18,191,42,15,1,2,127,347090,136,564,2692,129,107,198,110128,1689,0,570347,257,2045,25,8,0,0,351,56,119,3038,4,113129,5260,570621,5,908,63,410,457218
Krishna,34,373742,23,90,413,13,129,14,63,470,19,30,0,2,213,1104396,14,447,98,19,54,67,2180,2257,0,1497643,377,1005,17,47,2,10,1529,48,142,3146,1,19505,5694,1498239,3,670,21,740,1478138
Theni,2,56,5,8,0,0,0,11,6,755,3,1,0,1,11,72254,0,14,7,0,7,0,114,1800,0,106664,3,8631,0,0,0,0,6,28,42,32,1,10819,23591,107440,0,33,0,18,95845
East_Midnapore,83,6153,34,1590,15726,117,1282,24,51,15967,36,2,1,7,962,2409841,23,1296,458,58,288,31860,433,400,1,2734215,921,1725,33,83,14,48,44864,13,916,1559,38,119081,739,2750295,247,6954,155,205293,2615134
Sirmaur,0,48,5,64,2218,586,24,0,10,3042,4,2,0,0,742,101028,0,51,9750,10987,320,200,97,48,0,143689,193,192,0,14,0,5,277,0,2952,356,26,31674,66,146747,6,5941,6793,700,112015
South_Goa,265,3697,14,286,1818,85,187,921,119,2306,452,20,7,132,828,153931,35648,1430,419,172,257,813,61050,5571,0,302605,785,21681,31,11,5,10,1107,34,367,1086,9,113026,2771,306423,11,6202,212,1673,189579
Darbhanga,2,6528,16,1276,157451,7,72619,147,20,1590,2,29,1,75,698,504614,7,209,2054,27,123,2041,78,45,5,758417,97,449,9,7,5,170,563,13,515,154,9,96352,36,760205,15,5997,946,1556,662065
Surat,49,21407,17,1607,65657,185,3108,490,201,5179,173,27,199,631,2880,764442,141,878733,6485,1586,441,10560,3885,6980,1,2544345,32652,344581,65,15,2,64,96893,101,2939,96564,42,901170,4322,2550415,70,184082,1101,11858,1643175
Hoshiarpur,14,205,22,566,11838,1999,2230,79,227,20270,169,31,0,2,2680,304811,19,322,4513,34452,3478,3027,132,161,0,526933,1458,1288,14,11,7,9,413,5,128766,3062,14,93356,228,547712,8,16889,1609,2681,433577
Yanam,0,14796,0,0,26,0,2,0,0,37,8,0,0,0,0,4,0,7,2,0,5,2,31,6,0,15251,0,9,0,21,0,0,25,232,1,3,0,15015,53,15296,0,12,0,14,236
Almora,5,62,22,173,1088,64,21,5,2,3218,16,8,0,0,1225,186214,13,90,352,124,163,109,40,43,0,226996,291,381,41,25,24,71,85,4,282,330,9,13443,40,230245,4,7955,27339,307,213553
Dindigul,13,492,34,20,55,9,0,29,7,3839,7,3,0,0,111,313771,9,98,7,0,13,6,490,2475,1,416362,33,1956,2,2,0,3,63,303,36,69,0,6380,96211,420247,0,53,1,26,409982
Madhubani,2,25,22,161,102676,8,7,26,3,32292,6,14,29,2,585,787174,9,184,93,5,12,629,22,4,0,895062,115,343,0,5,7,9,319,2,224,143,3,5212,497,927403,6,869,11,860,889850
Nizamabad,8,121473,6,32,200,1,21,5,18,181,4,2,1,1,66,467846,3,881,52,7,12,46,3492,278,0,631254,94,34361,3,2,0,0,163,4,111,777,0,41935,817,631464,1,363,25,107,589319
Tirap,6,65,4012,3838,872,6,11,0,0,271,0,0,0,0,18,11142,0,0,39,19,22,181,13,67,0,21660,23,7,45,59,42,105,54,1,20,129,6,6506,31,21931,95,330,43,359,15154
Raisen,0,231,0,34,2113,19,3154,0,0,568,0,1,2,0,126,216762,8,134,333,26,14,154,132,501,0,354311,121154,1158,1,1,0,0,251,1,240,703,1,16395,140,354880,0,6298,87,533,337916
Baghpat,4,79,0,89,1394,43,50,29,1,241,0,2,5,0,8922,141295,7,50,9428,41,65,505,22,76,0,293658,240,132,1,6,1,11,54,1,195,435,1,23408,10,293931,6,128955,947,588,270250
Jharsuguda,2,953,6,108,8757,42,7804,18,5,1526,6,7,1,1,76,72516,2,302,178,82,15,5203,56,304,0,172223,1115,400,10,2,3,0,66622,3,306,398,2,33085,118,173785,12,3408,41,3375,139138
Thoubal,0,0,8,147,131,1,0,0,0,154,0,0,0,0,3,39552,0,0,2,1,3,3,1,9,0,43767,1,0,3678,21,9,35,0,0,1,3,20,537,2,43921,96,8,6,26,43230
Ukhrul,0,5,16,136,164,4,4,0,0,108,0,0,0,0,2,11128,0,6,28,19,9,37,3,41,0,13571,7,4,1456,25,4,72,28,0,11,48,8,987,3,13679,29,57,188,29,12584
Chandel,1,18,2,43,174,1,0,0,0,289,0,0,0,0,15,18294,0,1,6,0,1,11,2,16,0,21985,4,3,2503,470,46,18,9,0,5,27,2,1188,235,22274,4,54,4,16,20797
Hamirpur_(Uttar_Pradesh),0,8,0,58,257,4,166,0,0,27,0,0,1,0,78,174057,0,76,38,925,5,95,5,5,0,270304,8271,235,1,1,1,314,60,1,43,158,0,10996,20,270331,2,85251,87,81,259308
Agra,18,425,43,477,3120,507,765,105,31,1934,16,34,1,2,3514,469093,7,969,1855,267,508,483,468,294,0,761608,21974,1651,302,64,10,22,465,18,1983,78833,8,123374,388,763728,109,169141,1856,1968,638234
Palakkad,52,1057,19,105,242,26,141,47,17,2176,25,0,1,2,386,427997,43,350,58,13,77,175,3177,179302,61,660183,264,1991,21,17,6,24,198,110,102,270,12,52884,43256,662450,0,266,22,340,607299
Raichur,6,55188,8,22,150,0,27,9,1,4023,21,0,0,0,56,240964,41,289,859,14,32,26,68743,725,0,373517,92,2222,42,15,1,0,126,8,22,1369,0,63810,1762,377571,1,304,22,381,309707
Changlang,0,53,6502,12912,1596,2,28,0,0,6868,0,4,0,0,11,19882,5,7,107,12,6,156,9,109,0,43598,23,12,187,95,60,188,85,0,18,106,20,17214,35,50470,177,687,171,337,26384
Ganganagar,6,477,19,675,8787,286,482,30,63,16601,95,54,5,1,1648,462877,5,4719,27199,2001,716,1272,367,817,0,762110,2065,1017,90,66,14,7,834,55,87117,133806,22,165427,625,778953,63,20482,1681,1807,596683
Kanpur_Dehat,1,17,13,64,862,12,3527,8,0,384,12,7,0,0,169,278512,0,180,275,445,17,322,13,35,0,415730,1540,133,36,0,0,1,25,3,140,291,0,8798,74,416141,5,128420,154,444,406932
Sonapur,0,423,5,5,231,0,169,0,0,29,0,2,0,0,4,95267,1,59,24,2,0,291,10,7,0,149107,47,7,0,0,0,2,52338,0,1,34,0,1502,26,149138,0,41,0,113,147605
Lawngtlai,0,0,10,381,37,0,0,0,0,656,0,0,0,0,9,16426,0,0,1,0,14,47,0,4,0,21855,0,2,50,32,4683,2,1,0,3,11,0,746,6,22511,70,18,4,44,21109
Auraiya,1,166,2,105,1438,10,337,14,4,55,3,3,1,0,568,121758,2,184,259,73,27,249,20,107,0,298986,2914,357,9,1,4,66,73,3,149,545,0,8662,119,299065,8,168566,319,546,290324
Chandauli,1,25,0,66,38615,5,130,20,8,163,17,11,0,0,102,314948,4,102,258,13,9,3168,51,36,0,444990,732,204,51,0,0,0,112,1,115,109,3,45501,19,445209,3,84541,119,1448,399489
Kolkata,219,4091,89,11027,243752,355,1908,179,285,179046,520,27,9,15,5383,0,184,8791,3038,433,1535,34644,1356,5058,7,832592,3351,6667,312,1217,91,242,32989,64,6156,19402,184,470248,4652,1012649,2575,68758,1694,362344,362344
Kannauj,3,45,1,150,2652,4,401,1,12,74,7,1,2,0,353,138507,2,85,367,51,7,92,8,104,0,313316,905,157,493,0,2,101,61,2,166,193,0,6972,49,313411,2,167837,136,378,306344
Mandi,1,55,93,68,948,601,149,7,4,2276,3,0,1,0,815,239806,10,61,1075,28378,879,347,55,69,0,284275,163,251,5,8,5,15,108,0,6675,571,20,16091,52,286565,6,2374,421,190,268184
Bareilly,13,180,40,1501,6435,178,1813,28,14,5307,11,4,10,5,2405,501707,26,451,1844,286,710,1787,201,236,0,763988,3628,955,31,29,10,201,493,7,5233,1766,16,56552,205,769352,21,205729,17909,7927,707436
Simdega,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coimbatore,51,1706,26,93,332,32,12,122,52,3699,24,12,0,3,420,778334,15,617,118,11,65,29,4683,40685,3,1026716,499,2001,15,12,6,13,117,502,115,1500,0,54556,193826,1030625,2,458,3,412,972160
Rajkot,6,715,5,186,5678,19,251,1207,71,4167,77,3,10,135,448,834177,53,360498,275,218,61,1096,472,1267,0,1238836,4113,11945,10,6,0,2,1513,18,313,4359,1,44161,1328,1244361,8,7814,92,1744,1194675
Panch_Mahals,4,125,1,17,947,5,74,14,3,623,4,1,3,31,79,536577,12,66209,180,56,121,98,77,451,0,617790,2834,1560,1,2,0,0,170,1,120,4973,0,15004,172,618435,2,2636,32,220,602786
Amravati,7,2754,6,77,700,44,5895,18,11,2592,7,2,3,2,568,683180,43,2822,165,342,86,188,439,310,0,1009303,58233,244880,33,6,9,5,654,4,332,2629,7,81243,368,1011933,4,3839,59,610,928060
Kurukshetra,1,132,9,121,10670,1971,1151,9,13,13685,15,7,4,0,3103,77806,8,194,128130,1520,357,340,67,91,0,284237,406,418,49,16,4,8,142,2,34538,1763,1,78301,157,297966,4,17902,2495,657,205936
Kota,5,696,19,284,4120,171,242,28,21,3993,7,17,2,6,2565,213860,34,3577,2540,795,504,471,266,1364,0,520453,50565,3219,319,34,8,36,1854,20,4129,200102,36,106491,511,524519,47,24900,1356,1796,413962
Unnao,1,90,2,279,2932,57,1611,2,37,141,1,2,0,0,476,548390,5,163,155,69,16,387,19,30,0,724949,1247,501,2,4,2,44,73,0,246,185,0,9378,13,725132,4,167181,291,474,715571
Visakhapatnam,1083,334219,47,694,6077,116,1460,51,114,3156,142,24,1,13,1944,866529,989,1573,867,227,369,1834,2331,7222,9,1282088,2768,9323,29,84,4,45,18372,137,949,2711,19,81340,8212,1285575,36,3171,221,8403,1200748
Gadchiroli,10,11172,19,90,332,40,13178,17,10,8278,0,0,0,0,59,227692,1,389,69,12,30,244,250,161,0,353276,3912,93253,4,2,7,10,173,0,47,399,2,32331,98,361581,57,516,122,926,320945
Cuttack,15,5174,22,304,4063,57,1192,14,16,811,7,7,0,0,383,423201,18,775,376,37,52,2517,160,489,0,705367,425,535,17,23,4,9,251349,7,494,2185,9,30817,320,706222,25,1572,38,9520,674550
Alappuzha,44,547,55,178,186,36,237,176,79,2829,84,3,4,1,651,380506,91,552,122,28,97,156,1077,184229,19,579751,393,1975,27,29,27,83,309,25,181,314,27,15016,6783,582933,22,442,48,250,564735
West_Khasi_Hills,0,2,3,311,80,0,0,0,0,87,0,0,0,0,0,17716,0,0,0,0,1,9,0,4,0,20243,0,0,25,1990,1,3,7,0,5,0,6,537,0,20330,5,36,0,39,19706
Barpeta,1,17,53,34490,1278,3,0,0,0,5640,2,0,0,0,39,311865,0,8,24,2,9,64,13,17,0,351478,26,18,32,147,7,24,25,0,59,487,5,5123,30,357120,61,218,17,2439,346355
Kolhapur,9,2379,17,111,2060,41,180,42,6,1692,553,1,4,2,305,1173128,1363,4919,156,100,227,327,216562,1353,0,1683279,1261,260213,10,7,3,5,342,17,282,10794,5,249938,1359,1685573,5,4808,73,852,1433341
East_Kameng,1,2,2267,2384,591,0,0,0,0,291,0,2,0,0,9,15245,0,6,7,3,1,28,0,67,0,21103,1,2,4,17,3,2,16,0,12,48,1,3591,9,21396,6,213,2,156,17512
Hyderabad,193,441872,123,820,4212,287,462,245,874,3273,199,43,5,6,4710,628437,257,6754,1835,373,774,623,30220,7539,2,1206355,3314,23373,99,144,23,33,3530,149,2871,10685,73,136046,17776,1210989,65,7666,465,6585,1070309
Kullu,3,72,27,89,644,422,38,1,66,4586,68,6,0,0,504,63031,12,36,424,26825,947,286,68,69,0,98937,109,126,15,15,27,6,113,1,2535,230,41,9081,63,103664,0,1287,567,305,89856
Hanumangarh,0,23,9,184,5250,68,21,11,8,1906,53,11,1,3,356,269790,0,310,57129,139,50,160,23,97,0,508243,160,127,39,10,8,3,52,10,46630,120890,13,117563,23,510232,6,5839,422,398,390680
East_Khasi_Hills,5,257,326,14974,8026,69,31,5,10,4818,12,9,0,0,484,75701,21,196,431,228,269,465,286,684,0,133329,228,350,3203,12763,1460,1376,320,5,946,1567,183,44865,373,138183,1927,2120,813,3242,88464
Gadag,2,1395,3,13,42,0,8,9,11,138,35,0,0,2,42,199273,258,304,148,12,25,21,161917,198,1,367370,72,2082,1,3,0,0,124,2,17,796,1,6180,350,367563,0,142,12,104,361190
Dadra_and_Nagar_Haveli,9,548,1,187,7695,14,381,15,20,1049,4,0,0,664,236,10083,92,18671,264,77,34,1101,776,1368,36,77411,1312,14640,11,2,2,9,1928,20,153,3428,1,67328,545,78499,3,11314,591,1215,10083
Dhanbad,5,926,20,503,244824,90,2700,32,28,2205,33,7,6,2,415,298991,14,2079,1071,178,131,131951,211,470,0,797660,1075,578,31,21,11,13,4109,12,2011,1757,9,366718,337,799973,68,32548,193,70300,430942
Ratlam,0,4467,3,26,626,4,718,4,3,535,0,0,2,3,292,209434,13,3714,275,31,15,57,152,239,0,398175,138534,2870,0,0,0,0,105,0,318,29137,0,50207,128,398717,1,6555,166,290,347968
Firozabad,0,124,2,137,2471,44,141,51,22,251,81,5,0,1,1742,242221,2,398,872,45,43,198,39,49,0,506377,4127,343,1193,8,1,4,120,2,299,2698,1,17324,54,506787,125,246832,386,1655,489053
Sabar_Kantha,0,59,0,19,462,4,134,7,1,210,0,2,1,3,31,540902,7,61520,105,57,10,33,70,149,0,624896,566,1443,0,0,0,0,347,16,98,17781,2,22474,68,625116,0,912,15,82,602422
Kamrup,16,1813,703,221176,31758,168,52,9,44,10232,46,4,7,0,1036,566473,15,367,1098,156,268,992,221,548,0,875062,471,638,1090,8643,216,926,1117,7,1672,6748,163,87413,432,885397,3105,6159,223,16585,787649
